Typ;Funktion;Klassifikation Sag (2010);Beleg;Sigle;Ort;Kreis;X;Y
unklar;;;  Hosen bis an die Knie, und was daß schlimmste war, gefroren war allen, man konnte;ZWS44TRA.HTM;Raesfeld;Borken;6.8333333333333;51.766666666667
unklar;;;  weiß man auch gar nicht, wie das, daß man so einzel da steht so zu ;ZWV41TRA.HTM;Füchtorf;Warendorf;8.0305555555556;52.048888888889
unklar;;;  müssen wir sehen, so gut wie möglich, daß wir da überall von jedem Stück gute ;ZWV45TRA.HTM;Borgholzhausen;Halle;8.3;52.1
wie X dass;Adverbial;Degree word;  kommt noch drauf an, (PAUSE) wie lang, daß sie bleiben. Wem 's gefällt, der bleibt ;ZWW79TRA.HTM;Rixfeld;Lauterbach;9.3815;50.5789
unklar;;;  soviel Leuten, man muß ja sehen was daß (PAUSE) mit den großen Leuten doch schlechter  ;ZWY33TRA.HTM;Kirchlinteln;Verden;9.3183333333333;52.942777777778
unklar;;;"  Schlüssel haben wir nicht.&quot; Zu was daß da gehört. Dann haben wir's ihnen ";ZWZ29TRA.HTM;Münchenreuth;Hof;11.921667;50.413333
wie dass;Adverbial;AdvP manner;  nicht sagen in der Schmelze, wie wie daß das Hitze haben muß dort, nicht. Und ;ZWZ39TRA.HTM;Kothigenbibersbach;Wunsiedel;12.158611111111;50.081388888889
PPwelch dass;Obliquus;Det; graben werden, also unter welcher Schwierigkeiten daß das gegangen ist, man muß schon sagen, ;ZWK79TRA.HTM;Schwarzhofen;Neunburg vorm Wald;12.345833333333;49.379166666667
warum dass;Adverbial;PP reason; . Und das ist auch ein Grund, warum daß sich die Winzer sich gezwungen gefühlt haben, ;ZW034TRA.HTM;Laufen;Müllheim;7.709167;47.840278
warum dass;Adverbial;PP reason; , was da mit uns los ist, warum daß wir nicht kommen, na ja na sind  ;ZW1E7TRA.HTM;Katzwang;Schwabach;11.0575;49.35
warum dass;Adverbial;PP reason;  aufgeregt, weil ich nicht gewußt habe, warum daß man mich jetzt nicht geholt hat. Nämlich, ;ZW229TRA.HTM;Stuttgart;Stuttgart;9.1827777777778;48.775555555556
warum dass;Adverbial;PP reason;  herab. Jetzt, wollt ich Blödl schauen, warum daß der Karrn nicht mehr läuft, hab' nicht ;ZW3E9TRA.HTM;Leinburg;Nürnberg;11.31;49.451666666667
warum dass;Adverbial;PP reason; . Und da ist's halt losgegangen, warum daß ich weg will, nicht. Habe ich ihm';ZW514TRA.HTM;Nordrach;Wolfach;8.08;48.398055555556
warum dass;Adverbial;PP reason;" , sagt sie: &quot;Weißt jetzt auch, warum daß ich nichts gesagt habe?&quot; Und hat ";ZW514TRA.HTM;Nordrach;Wolfach;8.08;48.398055555556
warum dass;Adverbial;PP reason;  da der Schmiedemeister gefragt, ich hab/ warum daß ich weg will, und da habe ich';ZW514TRA.HTM;Nordrach;Wolfach;8.08;48.398055555556
warum dass;Adverbial;PP reason;"  g/ S3:&nbsp;die haben gewußt, warum, daß sie geschafft haben wie Bruunenputzer. S2:&nbs";ZW578TRA.HTM;Au am Rhein;Karlsruhe;8.2363888888889;48.951388888889
warum dass;Adverbial;PP reason;" ;Ja, der Hauptgrund, warum, der Hauptgrund, warum daß die Kronauer &quot;Mobären&quot; sind. Wo ";ZW616TRA.HTM;Kronau;Bruchsal;8.6338888888889;49.22
warum dass;Adverbial;PP reason; Karpfenschlag, jetzt wundert's mich nimmer, warum daß nichts mehr beißt! Und da habe ich ;ZW643TRA.HTM;Ichenheim;Lahr;7.8038888888889;48.465277777778
warum dass;Adverbial;PP reason;  kann sich ja vielleicht jeder denken, warum daß sie nicht mehr gekommen sind. Nämlich so ;ZW8O5TRA.HTM;Niederbeerbach;Darmstadt;8.676944;49.791111
warum dass;Adverbial;PP reason;  sie ihn einmal gefragt zu Wasserburg, warum daß er nicht mehr zu mir heraus fährt, ;ZWD51TRA.HTM;Albaching;Wasserburg am Inn;12.115277777778;48.1125
warum dass;Adverbial;PP reason;"  er gesagt, &quot;wissen Sie denn, warum daß sie (UNDEUTLICH)? &quot;Sage ich: &quot;Nein.&";ZWF32TRA.HTM;Neukirchen;Kötzing;12.970278;49.259167
warum dass;Adverbial;PP reason;Warum, daß sie nicht mitgehen, das weiß;ZWG06TRA.HTM;Niederhorbach;Bergzabern;8.0341666666667;49.1175
warum dass;Adverbial;PP reason;  meine Mutter da immer erzählt haben, warum daß ich da hinten geboren sein, weil mein ;ZWG52TRA.HTM;Großbockenheim;Frankenthal;8.18146;49.603953
warum dass;Adverbial;PP reason;  ihn einer erlöst und fragt ihn, warum daß er umgehen muß. Aber das hat sich ;ZWJ44TRA.HTM;Distelhausen;Tauberbischoftsheim;9.6944444444444;49.598611111111
warum dass;Adverbial;PP reason;  uns, die selber gar nicht wissen, warum daß das alles kommt. Da muß man halt ;ZWJ83TRA.HTM;Stegaurach;Bamberg;10.843611111111;49.863333333333
warum dass;Adverbial;PP reason;  ein Roß gehabt, und das - warum warum daß wir das gebraucht haben, das weiß ich ;ZWK97TRA.HTM;Untertraubenbach;Cham;12.666118;49.218073
warum dass;Adverbial;PP reason;  befruchtet, das ist ja der Hauptzweck, warum daß man die Immen hält. Man kann ja ;ZWU62TRA.HTM;Bad Sassendorf;Soest;8.1666666666667;51.583055555556
warum dass;Adverbial;PP reason;  heute weg. Ich weiß auch nicht, warum daß das kommt. Wenn das getan ist, und ;ZWW33TRA.HTM;Ohmes;Alsfeld;9.1758333333333;50.769444444444
warum dass;Adverbial;PP reason;  nicht. Da kam der Lageroffizier raus, warum daß wir nicht arbeiten wollen. Ja, wir wollen ;ZWY19TRA.HTM;Tewel;Soltau;9.7059;53.03300
warum dass;Adverbial;PP reason;  wollte ich dadran tun, net? Ja, warum daß nicht haben sie gesagt, warum daß ich ;ZWY85TRA.HTM;Ahlstadt;Coburg;10.856666666667;50.371388888889
warum dass;Adverbial;PP reason; , warum daß nicht haben sie gesagt, warum daß ich das nicht gemeldet hätte? Und da ;ZWY85TRA.HTM;Ahlstadt;Coburg;10.856666666667;50.371388888889
was für X dass;Prädikativ;Det;  Du willst, und was für eine Botschaft daß das ist. Ja, ja, das, wenn ich ;ZW2P7TRA.HTM;Scharrel;Cloppenburg;7.705278;53.081944
was für X dass;Prädikativ;Det;  was es ist, was für eine Qualität daß es ist, gelt. Und da haben wir ;ZW969TRA.HTM;Frasdorf;Rosenheim;12.283333333333;47.8
was für X dass;Objekt;Det;  Feld, je nachdem, was für eine Arbeit daß man schafft. Ha na, wenn die - auf ;ZWG22TRA.HTM;Jockgrim;Germersheim;8.2783333333333;4.90950
was für X dass;Objekt;Det;  geblieben, je nachdem, was für eine Arbeit, daß man hat so auf dem Feld. Und ;ZWG22TRA.HTM;Jockgrim;Germersheim;8.2783333333333;4.90950
was für X dass;Prädikativ;Det;"  ist mir egal, was für ein Wetter daß ist. S2:&nbsp;Ha, das ist bei ";ZWG22TRA.HTM;Jockgrim;Germersheim;8.2783333333333;4.90950
was für X dass;Prädikativ;Det;  Fäßchen, je nachdem was für ein Geschäft daß es ist - wenn er einen Dämpfkessel hat, ;ZWJ45TRA.HTM;Distelhausen;Tauberbischoftsheim;9.6944444444444;49.598611111111
was für X dass;Objekt;Det;  und ich weiß nicht, was für Instrumente, daß es noch gab, wurden dann gebleicht und ;ZWQ71TRA.HTM;Karken;Selfkantkreis Geilenkirchen-Heinsberg;6.0738888888889;51.103333333333
was für X dass;Objekt;Det;  darauf an (zusammen), was für eine Musik daß wir haben. Überall gefällt es uns gerade ;ZWZ92TRA.HTM;Rothmannsthal;Lichtenfels;11.141676;50.051566
unklar;;;  kommt drauf an, was für Getreides (UNDEUTLICH) daß man - . So wie heuer, haben wir im ;ZWZ97TRA.HTM;Tiefenpölz;Bamberg;11.111111111111;49.888888888889
welch dass;Subjekt;NP;  und wollen mal gucken miteinander, welche welche daß miteinander in die Kirche kommen, und welche ;ZW551TRA.HTM;Gamshurst;Bühl;8.0188888888889;48.664722222222
welch dass;Subjekt;NP;  miteinander in die Kirche kommen, und welche daß immer zu spät kommen. Es sind immer ;ZW551TRA.HTM;Gamshurst;Bühl;8.0188888888889;48.664722222222
welch dass;Subjekt;NP;  wollen wir jetzt auch mal sehen, welcher daß da am längsten Dienst machen tut, ne. ;ZW566TRA.HTM;Halberstung;Bühl;8.1669444444444;48.761944444444
welch X dass;Subjekt;Det;  Jahrgang, ich weiß gar nicht, welcher Jahrgang daß es gewesen ist, weißt du's nimmer? ;ZW038TRA.HTM;Neuenburg;Müllheim;7.561944;47.814722
welch X dass;Subjekt;Det; , wo das nicht sieht, der, welcher Acker daß mit dem Grundstü/ mit einem Pferd oder ;ZW549TRA.HTM;Gamshurst;Bühl;8.0188888888889;48.664722222222
welch X dass;Subjekt;Det;  doch diesen Leuten sagen können, welches Obst daß reif ist, welches sie heruntermachen sollen, u;ZW621TRA.HTM;Kronau;Bruchsal;8.6338888888889;49.22
welch X dass;Objekt;Det;  zu wählen sind vier Gemeinderäte - welche Listen daß die meisten Wähler auf sich vereinigen können.;ZWJ41TRA.HTM;Distelhausen;Tauberbischoftsheim;9.6944444444444;49.598611111111
welch X dass;Objekt;Det; , wo das Gespann hingehören tat, welchen Bauer, daß die gehören taten. Und dann ee bin ;ZWY48TRA.HTM;Wense;Fallingbostel;10.365913;52.359877
welch dass;Subjekt;NP;  wollen wir jetzt auch mal sehen, welcher daß da am längsten Dienst machen tut, ne. ;ZW6O6TRA.HTM;Bofsheim [Osterburken];Buchen;9.426111;49.430833
wie dass;Adverbial;AdvP manner;" 1:&nbsp;Mach würde aber mal interessieren, wie daß nun die Arbeit so im Kleinen vor ";ZW0H8TRA.HTM;Weitershausen [Gladenbach];Marburg;8.629167;50.809722
wie X dass;Prädikativ;Degree word;  mehr, nicht wahr, je nachdem, wie groß daß da grad die Haushalte ist, bringen sie ;ZW046TRA.HTM;Horben;Freiburg i. Br.;7.8588888888889;47.93500
wie X dass;Adverbial;Degree word;  machen, da sehen sie mal wie weit daß sie kommen, wo sie ernten. Da geht';ZW1P3TRA.HTM;Heppenheim;Bergstraße;8.64500;49.641527777778
wie X dass;Prädikativ;Degree word;  Jahre hier, und wer weiß, wie lang daß wir noch sind. Wir haben ja immer ;ZW2F9TRA.HTM;Hollingstedt;Schleswig;9.333333;54.45
wie X dass;Adverbial;Degree word;  fällt ein. Wenn Ihr sähet, wie tief daß Ihr drinsitzt, dann bliebt Ihr von selbst ;ZW3B2TRA.HTM;Menzelen;Moers;6.5305555555556;51.615833333333
wie X dass;Adverbial;Degree word; ter zu hundertfünfzig [150], je nachdem wie weit, daß sie können, nicht! Und dann wird das, ;ZW4P1TRA.HTM;Altharlingersiel;Wittmund;7.76;53.686388888889
wie X dass;Adverbial;Degree word;  die (PAUSE) ich weiß nicht, wie hoch daß er ihn eingestellt hat, ich hab zum ;ZW523TRA.HTM;Kork;Kehl;7.871389;48.566944
wie X dass;Adverbial;Degree word;  auch keiner den Preis wissen, wie hoch daß das Königinnenkleid gekommen ist. Und die Schü;ZW6A6TRA.HTM;Lüchtringen;Höxter;9.4275;51.793888888889
wie X dass;Prädikativ;Degree word;  wird, je nach Stärke, nicht, wie dick, daß der Nagel werden soll, wird das Eisen, ;ZW6C2TRA.HTM;Schwei;Wesermarsch;8.355809;53.4027566525
wie X dass;Prädikativ;Degree word; , dann kann man sich denken, wie naß daß das hier bei uns war. Ich habe ;ZW6M1TRA.HTM;Wagenfeld;Grafschaft Diepholz;8.5902777777778;52.546111111111
wie X dass;Prädikativ;Degree word;  Ihr auch sicher wohl wissen, wie alt daß ich bin. Ich bin von dem Jahrgang ;ZW7B0TRA.HTM;Sonsbeck;Moers;6.3769444444444;51.608888888889
wie X dass;Adverbial;Degree word;  rein, dann wußten sie genau, wie lang daß wir unterwegs waren, nicht. Und dann haben ;ZW7C1TRA.HTM;Burhave;Wesermarsch;8.3625;53.574444444444
wie X dass;Adverbial;Degree word; , wir waren sieben Mann, aber wie oft daß wir sind unter unter unter den Straßen ;ZW7C1TRA.HTM;Burhave;Wesermarsch;8.3625;53.574444444444
wie X dass;Prädikativ;Degree word;" , dann muß man just wissen, wie steif, daß das ist und so. S1:&nbsp;Konnte ";ZW7J3TRA.HTM;Debstedt;Wesermünde;8.6391666666667;53.622222222222
wie X dass;Prädikativ;Degree word; , da hat man wunder gemeint, wie reich daß man ist. Aber man hat nichts gehabt. ;ZW7O0TRA.HTM;Waldmühlbach;Mosbach;9.2819444444444;49.360555555556
