Typ;Funktion;Klassifikation Sag (2010);Beleg;Sigle;Ort;Kreis;X;Y
wieviel X dass;Subjekt;Degree word; nn die Sandblätter, Mittelgut. Und wieviel Flüche daß da fallen, wo es da immer kracht ;ZW618TRA.HTM;Kronau;Bruchsal;8.6338888888889;49.22
wieviel X dass;unklar;Degree word; , ich weiß nicht wieviel, wieviel tausend Tonnen daß sie noch von (PAUSE) irgend von andern ;ZW6G4TRA.HTM;Unterwiddersheim;Büdingen;8.917108;50.429711
wieviel X dass;Objekt;Degree word;  Frauen, die auf Tagelohn gehen, wieviel Eier daß sie heute kaufen können für das Geld ;ZW8K8TRA.HTM;Kallenbrock;Uelzen;10.573414;52.867902
wieviel X dass;Objekt;Degree word;  Geld was sie verdienen und wieviel Brot daß sie heute kaufen können, was sie verdienen ;ZW8K8TRA.HTM;Kallenbrock;Uelzen;10.573414;52.867902
wieviel X dass;Subjekt;Degree word;"  ist, wie viele Tierhalter oder wieviel Vieh daß es waren, nicht. S1:&nbsp;Und wahrscheinlich ";ZW972TRA.HTM;Götting;Bad Aibling;11.943888888889;47.864166666667
wieviel X dass;Prädikativ;Degree word;" ;Ja, ich bin ja gespannt, wie viele daß es werden. Ich muß schon sagen, wie ";ZWB68TRA.HTM;Freising;Freising;11.748888888889;48.402777777778
wieviel X dass;Subjekt;Degree word; , dann weiß man es schon, wieviel Arbeit daß an einem ist. Keine Magd habe ich ;ZWC01TRA.HTM;Ramsau;Berchtesgaden;12.896389;47.6075
wieviel X dass;Subjekt;Degree word; flicht, nicht. Das muß festgelegt werden, wieviel daß alles zu schießen ist, nicht. So kommen ;ZWC18TRA.HTM;Stephanskirchen;Rosenheim;12.186111111111;47.854444444444
wieviel X dass;Prädikativ;Degree word;  doch einmal hinausschauen, wie viele Wurstsachen daß da noch draußen sind, gelt. Jetzt ist ;ZWC37TRA.HTM;Niedersüßbach;Mainburg;11.966001;48.602445
wieviel X dass;Prädikativ;Degree word;  neunzig Häuser gehabt. Ich weiß nicht, wieviel daß es jetzt sind. Das weiß ich gar ;ZWC49TRA.HTM;Dietfurt;Riedenburg;11.583333;49.033333
wieviel X dass;Prädikativ;Degree word; . Das kommt drauf an, wie viele Partien daß das sind. Ich habe da so, wenn ;ZWD22TRA.HTM;Gars;Wasserburg am Inn;12.274722;4.815500
wieviel X dass;Prädikativ;Degree word; , wie viele Dezimale oder wie viel Ar daß es sind, und fangen da an zu ;ZWG02TRA.HTM;Rhodt;Landau;8.1080555555556;49.272777777778
wieviel X dass;Objekt;Degree word;  und Urgroßväter und wer weiß wie viele daß sie schon aufgetakelt haben, jetzt kann ich ;ZWJ66TRA.HTM;Altershausen;Hofheim;10.593781;50.059603
wieviel X dass;Prädikativ;Degree word; icht so richtig danach gefragt, wieviel Kilometer daß das sind. Na ja, wir müssen hinaufwärts ;ZWK26TRA.HTM;Neuses;Hofheim;10.5222;50.2145
wieviel X dass;Objekt;Degree word;  da gut drauf. Je nachdem wieviel Pferde daß er hatte, auch länger. Ja, und das ;ZWU33TRA.HTM;Eslohe;;8.1747222222222;51.257222222222
wieviel X dass;Prädikativ;Degree word; g mit zugetan und durchgeschaut, wieviel Prozente daß das waren. Na und die wurden dann ;ZWU79TRA.HTM;Talle;Lemgo;8.9065861702778;52.096461503333
wieviel X dass;Prädikativ;Degree word; , sechs Meter groß, je nachdem, wieviel Mann daß da waren. Wenn da fünf Mann waren, ;ZWV03TRA.HTM;Windheim;Minden;9.015278;52.413056
wieviel X dass;Prädikativ;Degree word;  nach dem Takt. Je nachdem, wieviel Leute, daß da waren, drei Mann oder vier M/, ;ZWY52TRA.HTM;Bonstorf;Celle;10.048333333333;52.861944444444
